name,grades,score,ra,dec,ABmag_F444W,has_COWLS_counterpart,within_COWLS_footprint,code_COWLS
COS_9565,XXXXXXXX,0,150.05886203,2.1551872538,20.6595,False,True,
COS_96533,XXXXXXXU,0,150.15024328,2.4751454965,17.7708,False,True,
COS_97435,XXXXXXXX,0,150.17357641,2.46862707,20.5563,False,True,
COS_97903,XXXXXXXX,0,150.05520324,2.4726290262,19.1682,False,True,
COS_98086,XXXXXXXU,0,150.13035167,2.4721211945,19.1738,False,True,
COS_98327,XXXXXXXX,0,150.16902491,2.4736511842,19.065,False,True,
COS_98442,XXXXXXXX,0,150.15960135,2.4742862495,19.2975,False,True,
COS_99300,XXXXXXXX,0,150.11919333,2.4775108961,18.8138,False,True,
EGS_10193,XXXXXXXX,0,214.98533798,52.871406695,18.8852,False,False,
EGS_10222,XXXXXXXX,0,215.12019762,52.962806392,19.7657,False,False,
EGS_10429,XXXXXXXX,0,214.96717153,52.857689429,19.2208,False,False,
EGS_11184,XXXXXUXX,0,214.78692011,52.733553762,18.5583,False,False,
EGS_12339,XXXXXXXU,0,215.11265198,52.960855637,20.6165,False,False,
EGS_1470,XXXXXXXX,0,215.06029817,52.853424067,18.6801,False,False,
EGS_15264,XXUXXXXX,0,214.93674938,52.847288983,20.8845,False,False,
EGS_15465,XXXXXXXX,0,215.07355222,52.947618975,19.2073,False,False,
EGS_16208,XXUXXUXX,0,214.86427503,52.798744667,20.7791,False,False,
EGS_18350,XXXXUXXU,0,214.85288276,52.798230542,20.331,False,False,
EGS_18861,XXXXXXX8,0,214.95463715,52.876574375,18.695,False,False,
EGS_18965,XXXXXXXX,0,214.79993949,52.763068746,19.6115,False,False,
EGS_2,XXXXXXXX,0,215.10840352,52.872029253,19.0309,False,False,
EGS_21437,XXXXXXXX,0,214.92059478,52.865884769,19.0821,False,False,
EGS_22681,XXUXXXXX,0,214.73867252,52.737268345,18.3994,False,False,
EGS_22773,XXXXXXXU,0,214.84921451,52.814769776,19.5333,False,False,
EGS_24365,XXUXXXXU,0,214.82972087,52.807224913,21.1258,False,False,
EGS_25312,XXXXXXXX,0,214.72155877,52.736309481,18.4268,False,False,
EGS_2546,XXUXXXXX,0,215.03770475,52.870757371,18.621,False,False,
EGS_25507,XXXXXXXU,0,214.82251666,52.807874419,19.3728,False,False,
EGS_25532,XXXXXXXU,0,214.88622319,52.857145994,18.8884,False,False,
EGS_2605,XXUXXUXX,0,215.0982671,52.917244651,18.1807,False,False,
EGS_28071,XXUXXXXU,0,214.83296305,52.825415402,20.4394,False,False,
EGS_28176,XXXXXXXU,0,214.87553856,52.866454232,18.1702,False,False,
EGS_29780,XXXXXXXX,0,214.94317231,52.910311011,19.9279,False,False,
EGS_30155,XXXXXXXX,0,214.89701294,52.880486539,19.9376,False,False,
EGS_30492,XXXXXXXX,0,214.77901709,52.800435684,19.3282,False,False,
EGS_30941,XXXXXXXX,0,214.87814422,52.876548084,19.5554,False,False,
EGS_30966,XXUXXXXX,0,214.87416447,52.868457503,19.3633,False,False,
EGS_3103,XXXXXXXX,0,214.97389287,52.832395645,18.6612,False,False,
EGS_31821,XXUXXXXX,0,214.73097037,52.76820683,20.8169,False,False,
EGS_31992,XXXXXXXX,0,214.79378613,52.81560956,20.665,False,False,
EGS_3225,XXXXXXXX,0,214.90737881,52.787409868,19.0192,False,False,
EGS_34299,XXXXXXXX,0,214.69127722,52.748753285,20.5249,False,False,
EGS_3545,XXXXXXXX,0,214.97330735,52.833811336,20.1145,False,False,
EGS_36830,XXXXXXXX,0,214.91497324,52.919169806,19.8427,False,False,
EGS_37218,XXXXXXXX,0,214.78260781,52.83106993,17.9944,False,False,
EGS_37672,XXXXXXXX,0,214.95706901,52.949448855,20.6532,False,False,
EGS_37856,XXUXXXXU,0,214.92377753,52.928118068,19.8592,False,False,
EGS_39195,XXUXXXUU,0,214.88323914,52.906835356,19.6765,False,False,
EGS_39758,XXXXXXXX,0,214.8845195,52.910216176,19.4666,False,False,
EGS_42604,XXXXXXXU,0,214.91330973,52.94074853,20.2513,False,False,
EGS_43,XXXXXXXX,0,215.1062331,52.850366492,18.6081,False,False,
EGS_43108,XXXXXXXX,0,214.92875711,52.952486099,22.3504,False,False,
EGS_43506,XXXXXXXX,0,214.7507553,52.833085065,19.3576,False,False,
EGS_44248,XXXXXXXX,0,214.79292693,52.867738316,18.9443,False,False,
EGS_44708,XXXXXXXX,0,214.93083176,52.963430832,19.7899,False,False,
EGS_45073,XXXXXXXX,0,214.94271731,52.973948061,20.0609,False,False,
EGS_46137,XXXXXXXX,0,214.99303317,53.011366864,22.9674,False,False,
EGS_46252,XXXXXXXX,0,214.84987855,52.910700168,22.1685,False,False,
EGS_4920,XXXXXXXX,0,215.10501033,52.932740072,20.194,False,False,
EGS_6710,XXXXXXXU,0,215.13902546,52.966907104,18.6493,False,False,
GSN_12754,XXXXXXXU,0,189.31032839,62.1763138,22.1688,False,False,
